name,density,surface tension,dynamic viscosity,kinematic viscosity
0.858,1220.364,0.075703,0.028881787,2.36665E-05
0.86,1220.88,0.07571,0.028881787,2.36565E-05
0.862,1221.396,0.075717,0.028881787,2.36465E-05
0.864,1221.912,0.075724,0.028881787,2.36366E-05
0.866,1222.428,0.075731,0.028881787,2.36266E-05
0.868,1222.944,0.075738,0.028881787,2.36166E-05
0.87,1223.46,0.075745,0.028881787,2.36066E-05
0.872,1223.976,0.075752,0.028881787,2.35967E-05
0.874,1224.492,0.075759,0.028881787,2.35868E-05
0.876,1225.008,0.075766,0.028881787,2.35768E-05
0.878,1225.524,0.075773,0.028881787,2.35669E-05
0.88,1226.04,0.07578,0.028881787,2.3557E-05
0.882,1226.556,0.075787,0.028881787,2.35471E-05
0.884,1227.072,0.075794,0.028881787,2.35372E-05
0.886,1227.588,0.075801,0.028881787,2.35273E-05
0.888,1228.104,0.075808,0.028881787,2.35174E-05
0.89,1228.62,0.075815,0.028881787,2.35075E-05
0.892,1229.136,0.075822,0.028881787,2.34976E-05
0.894,1229.652,0.075829,0.028881787,2.34878E-05
0.896,1230.168,0.075836,0.028881787,2.34779E-05
0.898,1230.684,0.075843,0.028881787,2.34681E-05
0.9,1231.2,0.07585,0.028881787,2.34582E-05
0.902,1231.716,0.075857,0.028881787,2.34484E-05
0.904,1232.232,0.075864,0.028881787,2.34386E-05
0.906,1232.748,0.075871,0.028881787,2.34288E-05
0.908,1233.264,0.075878,0.028881787,2.3419E-05
0.91,1233.78,0.075885,0.028881787,2.34092E-05
0.912,1234.296,0.075892,0.028881787,2.33994E-05
0.914,1234.812,0.075899,0.028881787,2.33896E-05
0.916,1235.328,0.075906,0.028881787,2.33799E-05
0.918,1235.844,0.075913,0.028881787,2.33701E-05
0.92,1236.36,0.07592,0.028881787,2.33603E-05
0.922,1236.876,0.075927,0.028881787,2.33506E-05
0.924,1237.392,0.075934,0.028881787,2.33409E-05
0.926,1237.908,0.075941,0.028881787,2.33311E-05
0.928,1238.424,0.075948,0.028881787,2.33214E-05
0.93,1238.94,0.075955,0.028881787,2.33117E-05
0.932,1239.456,0.075962,0.028881787,2.3302E-05
0.934,1239.972,0.075969,0.028881787,2.32923E-05
0.936,1240.488,0.075976,0.028881787,2.32826E-05
0.938,1241.004,0.075983,0.028881787,2.32729E-05
0.94,1241.52,0.07599,0.028881787,2.32632E-05
0.942,1242.036,0.075997,0.028881787,2.32536E-05
0.944,1242.552,0.076004,0.028881787,2.32439E-05
0.946,1243.068,0.076011,0.028881787,2.32343E-05
0.948,1243.584,0.076018,0.028881787,2.32246E-05
0.95,1244.1,0.076025,0.028881787,2.3215E-05
0.952,1244.616,0.076032,0.028881787,2.32054E-05
0.954,1245.132,0.076039,0.028881787,2.31958E-05
0.956,1245.648,0.076046,0.028881787,2.31862E-05
0.958,1246.164,0.076053,0.028881787,2.31766E-05
0.96,1246.68,0.07606,0.028881787,2.3167E-05
0.962,1247.196,0.076067,0.028881787,2.31574E-05
0.964,1247.712,0.076074,0.028881787,2.31478E-05
0.966,1248.228,0.076081,0.028881787,2.31382E-05
0.968,1248.744,0.076088,0.028881787,2.31287E-05
0.97,1249.26,0.076095,0.028881787,2.31191E-05
0.972,1249.776,0.076102,0.028881787,2.31096E-05
0.974,1250.292,0.076109,0.028881787,2.31E-05
0.976,1250.808,0.076116,0.028881787,2.30905E-05
0.978,1251.324,0.076123,0.028881787,2.3081E-05
0.98,1251.84,0.07613,0.028881787,2.30715E-05
0.982,1252.356,0.076137,0.028881787,2.3062E-05
0.984,1252.872,0.076144,0.028881787,2.30525E-05
0.986,1253.388,0.076151,0.028881787,2.3043E-05
0.988,1253.904,0.076158,0.028881787,2.30335E-05
